title,url,duration_minutes,published_at
슈퍼갑! 혹은 유일신! 엔비디아 왕국은 '이제 시작' (김창욱 보스턴컨설팅그룹 MD파트너 1강)ㅣ 알.재,https://www.youtube.com/watch?v=57_dcKAEz2Y,45.58,2025-11-08T13:38:16Z
엔비디아의 30조 베팅 구글은 야단났습니다 - 김덕진 IT커뮤니케이션연구소장,https://www.youtube.com/watch?v=nZxpLhN3zdk,21.23,2025-12-29T11:01:30Z
삼성 ·하이닉스 역대급 실적! '이날'까지만 일단 기다리세요 | 노근창 현대차증권 센터장 [이기자의 취재수첩],https://www.youtube.com/watch?v=I9lwm7Ysv_0,27.52,2026-02-09T20:15:01Z
"AMD, 드디어 엔비디아와 싸움이 된다 | AI GPU 싸움의 온도가 바뀐 이유 | Helios, OpenAI의 전격 채택",https://www.youtube.com/watch?v=FsmKRwrNdB4,20.23,2025-10-14T06:12:52Z
알리바바 AI 반도체 도전과 엔비디아 영향: 기술·시장·지정학적 분석,https://www.youtube.com/watch?v=ksHBhndNquU,31.85,2025-08-31T23:00:55Z
[호구방지실전경제] 엔비디아 다음으로 꼽히는 AI 수혜주는? 팔란티어 오라클 그리고? (강정수 블루닷 AI연구센터장 박사),https://www.youtube.com/watch?v=kpZh_YdagbQ,20.32,2025-10-03T08:39:48Z
테슬라 로보택시 올인 삼성전자 SK하이닉스 시총 역전 엔비디아 루빈 습격 빅테크 최신 해외소식 총정리 매일 업데이트 2026년 2월 4일,https://www.youtube.com/watch?v=DWvIrtalV0E,25.3,2026-02-04T10:30:18Z
테슬라 로보택시 올인 삼성전자 SK하이닉스 시총 역전 엔비디아 루빈 습격 빅테크 최신 해외소식 총정리 매일 업데이트 2026년 2월 4일,https://www.youtube.com/watch?v=DWvIrtalV0E,25.3,2026-02-04T10:30:18Z
[풀버전] 엔비디아가 'HBM 불합격' 삼성전자를 끌고 가는 이유 (김창욱 보스턴컨설팅그룹 MD파트너)ㅣ 알.재,https://www.youtube.com/watch?v=5msxWAZiILY,70.93,2025-11-11T07:00:06Z
AMD 24% 폭등! OpenAI '6GW 동맹'의 진실과 NVIDIA 전쟁의 진짜 수혜주 TOP 3,https://www.youtube.com/watch?v=j4SZtTHhkdk,27.05,2025-10-10T15:22:51Z
"알리바바, T-Head PPU 중국 유니콤 계약 및 엔비디아 H20 성능 비견(25.09.17)",https://www.youtube.com/watch?v=NMWTyRX84Cs,21.42,2025-09-17T14:32:07Z
[주식] 엔비디아가 인수할 AI반도체 세계 1위 상한가 급등할 '이 주식' 당장사라 반도체관련주 반도체주 유리기판관련주 엔비디아관련주 소캠 SOCAMM 디에스경제뉴스 또바기,https://www.youtube.com/watch?v=y4phgL1T2-s,21.68,2025-10-23T10:28:51Z
엔비디아 독점 깨기 AMD 마이크로소프트 TSMC 2나노 시게이트 하드디스크도 품절?,https://www.youtube.com/watch?v=mkVKWqAp4g4,30.62,2026-01-28T07:50:25Z
"엔비디아가 물러나는 사이 중국 GPU 3개사(Moore Threads, MetaX, Cambricon)의 부상(25.10.07)",https://www.youtube.com/watch?v=VJWHbu5xKOg,25.7,2025-10-08T12:41:03Z
"AI 인프라 혁신가 네비우스(NBIS) 재평가: 1GW 전력 확보와 복합 생태계 전략, 그리고 투자 리스크 분석",https://www.youtube.com/watch?v=X7yDBEyd1X4,20.65,2025-09-29T08:44:34Z
제미나이의 미친 성능 반도체가 더 필요합니다  - 김덕진 IT커뮤니케이션연구소장,https://www.youtube.com/watch?v=r8V-FuDuT98,21.18,2025-12-01T11:01:41Z
메모리 장벽 깨기 HBM 기본 원리와 AI에서 HBM4의 부상(25.09.29),https://www.youtube.com/watch?v=kak4f8NAa5A,26.9,2025-09-29T14:57:48Z
"""믿을 수 없는 강세장 온다"" 엔비디아와 이 주식, 눈감고 줍줍해라. 곧 상상도 못할 일 터진다 (이주택 교수 / 1부)",https://www.youtube.com/watch?v=HL-s_6kk50s,21.97,2025-12-04T10:30:16Z
"엔비디아가 만든 인공지능GPU 공급부족, 가격버블 이건 2000년 IT 버블 과 유사합니다",https://www.youtube.com/watch?v=R9_6F9J-lMg,20.22,2025-09-05T09:25:47Z
젠슨 황이 이재용과 치맥한 이유?! “삼성 파운드리의 미래는…” (김창욱 보스턴컨설팅그룹 MD파트너 2강)ㅣ 알.재,https://www.youtube.com/watch?v=5ZfmSDFDNXQ,26.43,2025-11-09T11:00:13Z
25년11월26일 마이크로나스닥선물 기준선매매,https://www.youtube.com/watch?v=umJdDsE0bFE,143.72,2025-11-27T03:41:47Z
"중국, 딥시크 AI와 엔비디아 GPU로 군사용 자율 전투 시스템 개발에 활용 정황(25.10.27)",https://www.youtube.com/watch?v=mCFPj6JJxuM,23.27,2025-10-28T14:54:49Z
한국 기업들 걱정했는데... 엔비디아가 한국만 선택한 이유는 과연 무엇이었을까? HBM4 반도체 전쟁의 진실...,https://www.youtube.com/watch?v=Q9IJNa-VgdI,59.92,2026-02-07T23:00:25Z
25년11월25일 마이크로나스닥선물 기준선매매,https://www.youtube.com/watch?v=pqH5v5rQQqA,115.1,2025-11-26T03:18:02Z
"AI 금맥을 찾아라: 코어위브 vs 네비우스, AI 인프라 시장의 숨겨진 강자들 심층 분석",https://www.youtube.com/watch?v=YSnw4XsxXfs,20.37,2025-09-16T05:50:27Z
"엔비디아, 6G AI-RAN과 GPU 생태계 구축 승부수: AI Aerial, ARC(25.11.01)",https://www.youtube.com/watch?v=DfZEOD8Vo14,34.1,2025-11-01T05:11:27Z
"엔비디아가 만든 인공지능GPU 공급부족, 가격버블 이건 2000년 IT 버블 과 유사합니다",https://www.youtube.com/watch?v=R9_6F9J-lMg,20.22,2025-09-05T09:25:47Z
AI 승자는? 챗GPT-5·클로드 4.5· 구글 제미나이 2025 AI 트렌드 완전분석 (풀버전),https://www.youtube.com/watch?v=wS1Bh7S9dt4,36.35,2025-11-11T09:09:50Z
"엔비디아 독주 이제 끝, 2026년 AI 왕좌 이 주식으로 바뀝니다 | 이효석 HS아카데미 대표 [머니명강]",https://www.youtube.com/watch?v=Rdw1judfd5E,20.42,2025-12-07T20:15:01Z
英伟达、谷歌大战升级！GPU与TPU谁能主宰AI未来？传奇投资人给出惊人结论！（Gavin Baker ）,https://www.youtube.com/watch?v=Cbttu4cLt4E,29.6,2025-12-12T04:22:05Z
